Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
#AUD/USD,0.73053,0.00015,0.1665,-0.458,0.0001,0.1,0,30,1000,0,AUD/USD
#EUR/CHF,1.13617,0.00014,0.0544,-0.4801,0.0001,0.101,0,30,1000,0,EUR/CHF
EUR/USD,1.14174,0.00015,-0.0977,-0.1095,0.0001,0.1,0,30,1000,0,EUR/USD
#GBP/USD,1.27751,0.00013,0.0092,-0.2495,0.0001,0.1,0,30,1000,0,GBP/USD
#GER30,12418,1,-0.5151,0.0859,1,1.14049,0,20,10,0,DE30/EUR
#NAS100,7417,1,0.021,-0.1892,1,1,0,20,10,0,NAS100/USD
#SPX500,2838,0.5,0.0645,-0.1439,1,1,0,20,10,0,SPX500/USD
#UK100,7678,1,0.8444,-1.1908,1,1.27616,0,20,10,0,UK100/GBP
#US30,25319,2,0.6794,-1.3588,1,1,0,20,10,0,US30/USD
#USD/CAD,1.31471,0.0001,-0.149,-0.0604,0.0001,0.076,0,30,1000,0,USD/CAD
#USD/CHF,0.99567,0.00022,0.0627,-0.4682,0.0001,0.101,0,30,1000,0,USD/CHF
#USD/JPY,110.91,0.004,-0.0006,-0.098,0.01,0.09,0,30,1000,0,USD/JPY
#XAG/USD,15.35795,0.046,-0.0002,-0.0004,0.0001,0.1,0,20,50,0,XAG/USD
#XAU/USD,1210.69,0.31,-0.0199,-0.029,0.01,0.01,0,20,1,0,XAU/USD
#EUR/JPY,123.359,0.006,-0.3,0.09,0.01,0.081066,0,30,1000,0,EUR/JPY
#NZD/USD,0.67752,0.00007,0.6,-1.32,0.0001,0.088713,0,30,1000,0,NZD/USD
